Thu 14 Dec 2023 14:01:26: Opened File
Thu 14 Dec 2023 14:01:27: ==New Motion Triggered==
	Time(ms)	Position	Speed	Force	Power	Voltage	Errors
Thu 14 Dec 2023 14:01:27: 	101.541000	48242	-362	26640	4	24308	0
Thu 14 Dec 2023 14:01:27: 	101.977997	48160	-347	27076	4	24308	0
Thu 14 Dec 2023 14:01:27: 	102.369003	48122	-325	22275	3	24308	0
Thu 14 Dec 2023 14:01:27: 	102.890999	48071	-309	26267	2	24308	0
Thu 14 Dec 2023 14:01:27: 	103.292000	48021	-296	30197	3	24308	0
Thu 14 Dec 2023 14:01:27: 	103.772003	47996	-279	31179	4	24308	0
Thu 14 Dec 2023 14:01:27: 	104.282997	47963	-262	31905	4	24308	0
Thu 14 Dec 2023 14:01:27: 	104.711998	47948	-246	32632	4	24254	0
Thu 14 Dec 2023 14:01:27: 	105.206001	47935	-230	33270	4	24254	0
Thu 14 Dec 2023 14:01:27: 	105.564003	47929	-214	33393	4	24254	0
Thu 14 Dec 2023 14:01:27: 	106.079002	47930	-199	33330	4	24254	0
Thu 14 Dec 2023 14:01:27: 	106.555000	47933	-184	33168	5	24254	0
Thu 14 Dec 2023 14:01:27: 	107.000999	47947	-168	32970	4	24254	0
Thu 14 Dec 2023 14:01:27: 	107.547997	47961	-154	32759	4	24254	0
Thu 14 Dec 2023 14:01:27: 	107.910004	47993	-135	32470	4	24254	0
Thu 14 Dec 2023 14:01:27: 	108.516998	48025	-121	32151	3	24219	0
Thu 14 Dec 2023 14:01:27: 	108.987999	48068	-103	31802	3	24219	0
Thu 14 Dec 2023 14:01:27: 	109.457001	48112	-87	30827	3	24219	0
Thu 14 Dec 2023 14:01:27: 	109.860001	48149	-76	30191	3	24219	0
Thu 14 Dec 2023 14:01:27: 	110.249001	48205	-60	29500	2	24219	0
